Table 1.6  Changes to census subdivisions in alphabetical order by province and territory (with 8C and 9C) - Ontario,,,,,,,,"From January 2, 2006 to January 1, 2011"
Tableau 1.6  Changements apportés aux subdivisions de recensement en ordre alphabétique par province et territoire (inclus 8C et 9C) - Ontario,,,,,,,,Du 2 janvier 2006 au 1er janvier 2011
Census subdivision,,Type,Change,,SGC code,Population 2006,Remarks,File no.
Subdivision de recensement,,Genre,Changement,,Code CGT,,Remarques,No de dossier
,,,Code,Date,,,,
,Midland,T,9C,02/01/2006,35 43 074,16300,,
,,,,,,,,
Midland,,T,8,02/01/2006,35 43 074,16330,Part taken from (revision from pop. challenge) - Partie prise de (révision de contestation de population),350010
,,,,,,,,
,Tiny,TP,9,02/01/2006,35 43 068,30,,
,Midland,T,8,02/01/2006,35 43 074,16300,,
,,,,,,,,
Milton,,T,6,01/01/2010,35 24 009,53889,Part annexed to - Partie annexée à,350057
,,,,,,,,
,Mississauga,CY,5,01/01/2010,35 21 005,50,,
,Milton,T,6,01/01/2010,35 24 009,53939,,
,,,,,,,,
Missanabie 62,,IRI,4,02/01/2010,35 57 082,0,"Now part of (dissolution) - Maintenant partie de (dissolution) - Algoma, Unorganized, North Part, NO",350049
,,,,,,,,
,,,,,,,,
Mississauga,,CY,5,01/01/2010,35 21 005,668599,Annexation of part of - Partie annexée de,350057
,,,,,,,,
,Milton,T,6,01/01/2010,35 24 009,50,,
,Oakville,T,6,01/01/2010,35 24 001,0,,
,Mississauga,CY,5,01/01/2010,35 21 005,668549,,
,,,,,,,,
Montague,,TP,6,01/01/2010,35 09 001,3209,Part annexed to - Partie annexée à,350056
,,,,,,,,
,Smiths Falls,T,5,01/01/2010,35 09 004,386,,
,Montague,TP,6,01/01/2010,35 09 001,3595,,
,,,,,,,,
Mountbatten 76A,,IRI,9C,02/08/2007,35 52 055,0,Part lost to - Partie donnée à,350024
,,,,,,,,
,"Sudbury, Unorganized, North Part",NO,8C,02/08/2007,35 52 093,0,,
,Mountbatten 76A,IRI,9C,02/08/2007,35 52 055,0,,
,,,,,,,,
Mountbatten 76A,,IRI,4,02/01/2010,35 52 055,0,"Now part of (dissolution) - Maintenant partie de (dissolution) - Sudbury, Unorganized, North Part, NO",350047
,,,,,,,,
,,,,,,,,
Naiscoutaing 17A,,IRI,4,02/01/2010,35 49 079,0,"Now part of (dissolution) - Maintenant partie de (dissolution) - Parry Sound, Unorganized, Centre Part, NO",350044
,,,,,,,,
,,,,,,,,
New Post 69,,IRI,4,02/01/2010,35 56 104,0,"Now part of (dissolution) - Maintenant partie de (dissolution) - Cochrane, Unorganized, North Part, NO",350048
,,,,,,,,
,,,,,,,,
Newmarket,,T,8C,02/01/2006,35 19 048,74295,Part taken from - Partie prise de,350006
,,,,,,,,
,King,TP,9C,02/01/2006,35 19 049,0,,
,Newmarket,T,8C,02/01/2006,35 19 048,74295,,
,,,,,,,,
North Dumfries,,TP,6,01/09/2008,35 30 004,9063,Part annexed to - Partie annexée à,350023
,,,,,,,,
,Cambridge,CY,5,01/09/2008,35 30 010,0,,
,North Dumfries,TP,6,01/09/2008,35 30 004,9063,,
,,,,,,,,
North Shore,,TP,2C,02/01/2006,35 57 040,549,Name correction - Correction du nom - The North Shore,350062
,,,,,,,,
Northeastern Manitoulin and the Islands,,T,9C,02/01/2006,35 51 017,2711,Part lost to - Partie donnée à,350069
,,,,,,,,
,Gordon/Barrie Island,MU,8C,02/01/2006,35 51 027,0,,
,Northeastern Manitoulin and the Islands,T,9C,02/01/2006,35 51 017,2711,,
,,,,,,,,
Oakville,,T,6,01/01/2010,35 24 001,165613,Part annexed to - Partie annexée à,350057
,,,,,,,,
,Mississauga,CY,5,01/01/2010,35 21 005,0,,
,Oakville,T,6,01/01/2010,35 24 001,165613,,
,,,,,,,,
Otonabee-South Monaghan,,TP,6,01/01/2008,35 15 005,6812,Part annexed to - Partie annexée à,350074
,,,,,,,,
,Peterborough,CY,5,01/01/2008,35 15 014,122,,
,Otonabee-South Monaghan,TP,6,01/01/2008,35 15 005,6934,,
,,,,,,,,
Ottawa,,CV,3,02/01/2010,35 06 008,812129,Previously - Auparavant - C,350067
,,,,,,,,
"Parry Sound, Unorganized, Centre Part",,NO,5A,02/01/2010,35 49 096,2424,Complete annexation of - Annexion complète de,350044
,,,,,,,,
,Naiscoutaing 17A,IRI,4,02/01/2010,35 49 079,0,,
,"Parry Sound, Unorganized, Centre Part",NO,5A,02/01/2010,35 49 096,2424,,
,,,,,,,,
Penetanguishene,,T,8C,02/01/2006,35 43 072,9354,Part taken from - Partie prise de,350009
,,,,,,,,
,Midland,T,9C,02/01/2006,35 43 074,0,,
,Penetanguishene,T,8C,02/01/2006,35 43 072,9354,,
,,,,,,,,
Perth,,T,5,01/01/2010,35 09 021,5907,Annexation of part of - Partie annexée de,350054
,,,,,,,,
,Tay Valley,TP,6,01/01/2010,35 09 015,0,,
,Perth,T,5,01/01/2010,35 09 021,5907,,
,,,,,,,,
Perth,,T,5,01/01/2010,35 09 021,5907,Annexation of part of - Partie annexée de,350055
,,,,,,,,
,Drummond/North Elmsley,TP,6,01/01/2010,35 09 010,0,,
,Perth,T,5,01/01/2010,35 09 021,5907,,
,,,,,,,,
Perth East,,TP,6,01/01/2007,35 31 030,12001,Part annexed to - Partie annexée à,350005
,,,,,,,,
,Stratford,CY,5,01/01/2007,35 31 011,40,,
,Perth East,TP,6,01/01/2007,35 31 030,12041,,
,,,,,,,,
Perth East,,TP,6,01/01/2009,35 31 030,12001,Part annexed to - Partie annexée à,350038
,,,,,,,,
,East Zorra-Tavistock,TP,5,01/01/2009,35 32 038,0,,
,Perth East,TP,6,01/01/2009,35 31 030,12001,,
,,,,,,,,
Perth East,,TP,6,01/01/2011,35 31 030,11986,Part annexed to - Partie annexée à,350070
,,,,,,,,
,Stratford,CY,5,01/01/2011,35 31 011,15,,
,Perth East,TP,6,01/01/2011,35 31 030,12001,,
,,,,,,,,
